data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7079168,376,ISR1786,1786,9-May-20,2020,1,Protests,Peaceful protest,Protesters (Israel),Health Workers (Israel),6,,,0,60,Middle East,Israel,Haifa,Haifa,,Haifa,32.8184,34.9885,1,Jerusalem Post,National,"On 9 May 2020, medical interns protested in Bat Galim Square of Haifa city, demanding shorter shifts and better working conditions. [size=no report]",0,1589220519,ISR
7079424,887,YEM52360,52360,9-May-20,2020,1,Battles,Armed clash,Military Forces of Yemen (2016-) Supreme Political Council,,1,Military Forces of Yemen (2012-),Militia (Pro-Government),1,11,Middle East,Yemen,Sanaa,Nihm,,Al Madid,15.6445,44.4734,2,Mareb Press; Yemen Data Project,Local partner-National,"On 9 May 2020, clashes erupted between pro-Houthi forces and pro-Hadi and affiliated forces, including the Popular Resistance, on the Sirwah (Marib), Nihm (Sanaa), and Al Jawf frontlines. The clashes resulted in more than 20 pro-Houthi elements killed, including prominent leaders and supervisors of the Houthi movement. 20 fatalities split up between 3 events.",7,1589229240,YEM
7079936,484,MEX17991,17991,9-May-20,2020,2,Violence against civilians,Attack,Unidentified Gang (Mexico),,3,Civilians (Mexico),,7,37,Central America,Mexico,Chihuahua,Cuauhtemoc,,Cuauhtemoc,28.4063,-106.866,2,Tiempo,Subnational,"Around 9 May 2020 (as reported), in Cuauhtemoc municipality, Chihuahua, a man was found dead on a road. The body had the hands and legs tied, the head was covered with a plastic bag and presented firearm injuries. 1 fatality.",1,1589232621,MEX
7079169,376,ISR1785,1785,9-May-20,2020,1,Protests,Peaceful protest,Protesters (Israel),Health Workers (Israel),6,,,0,60,Middle East,Israel,Tel Aviv,Tel Aviv,,Tel Aviv,32.0809,34.7806,1,Jerusalem Post,National,"On 9 May 2020, about 2500 medical interns protested in Habima Square in Tel Aviv city, demanding shorter shifts and better working conditions. [size=2500]",0,1589220519,ISR
7079425,887,YEM52361,52361,9-May-20,2020,1,Battles,Armed clash,Military Forces of Yemen (2012-),STC: Southern Transitional Council,1,Military Forces of Yemen (2012-),,1,11,Middle East,Yemen,Suqutra,Hidaybu,,Hadibu,12.6501,54.0223,1,Yemen Data Project; Yemen Press,Local partner-National,"On 9 May 2020, clashes erupted between soldiers of the 1st Naval Infantry brigade loyal to pro-STC forces and other soldiers of the same brigade hailing from Suqutra island. 1 soldier from the Suqutra faction was injured during the clashes.",0,1589229240,YEM
7080961,706,SOM31065,31065,9-May-20,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-) Jubaland Security Force,,1,12,Eastern Africa,Somalia,Lower Juba,Kismaayo,,Bar-Sanguun,-0.4876,42.1839,2,Calamada,National,"On 9 May 2020, Al shabaab militants attacked Jubaland security forces in the vicinity of Bar-Sanguun village (Kismaayo, Lower Juba). After heavy gunfire from both sides, Al shabaab militants claimed to have killed two soldiers and injured five others.",2,1589234730,SOM
7090945,804,UKR37045,37045,9-May-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,1,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,2,12,Europe,Ukraine,Luhansk,Slovyanoserbsk,,Sentianivka,48.6686,38.7544,2,LPR People's Militia Press Service,Other,"On 9 May 2020, the Ukrainian Forces fired 82mm mortars at the positions of the Luhansk People's Militia in the area of Sentianivka, Luhansk.",0,1589305745,UKR
7090946,804,UKR37047,37047,9-May-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,1,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,2,12,Europe,Ukraine,Luhansk,Popasniansky,,Donetskyi,48.6963,38.6738,2,LPR People's Militia Press Service,Other,"On 9 May 2020, the Ukrainian Forces fired 120mm mortars at the positions of the Luhansk People's Militia in the area of Donetskyi, Luhansk.",0,1589305745,UKR
7079427,887,YEM52349,52349,9-May-20,2020,1,Battles,Armed clash,Military Forces of Yemen (2016-) Supreme Political Council,,1,Military Forces of Yemen (2012-),,1,11,Middle East,Yemen,Lahij,Al Qabbaytah,,Jabal al Kirsh,13.412,44.4846,2,26 September News - Pro-Hadi,National,"On 9 May 2020, Houthi forces reportedly exchanged artillery with pro-Hadi forces on the fronts of Jabal al Kirsh front (Al Qabbaytah, Lahij), Bab Ghaliq (Qaatabah, Ad Dali), and Jabal Murays (Qaatabah, Ad Dali), incurring fatalities. Unclear fatalities coded as 10 and spread between 3 locations.",4,1589229240,YEM
7079428,887,YEM52337,52337,9-May-20,2020,1,Battles,Armed clash,Military Forces of Yemen (2016-) Supreme Political Council,,1,Military Forces of Yemen (2012-),Southern Resistance,1,11,Middle East,Yemen,Ad Dali,Qaatabah,,Jabal Murays,13.9667,44.6833,2,26 September News - Pro-Hadi,National,"On 9 May 2020, Houthi forces reportedly exchanged artillery with pro-Hadi forces on the fronts of Jabal al Kirsh front (Al Qabbaytah, Lahij), Bab Ghaliq (Qaatabah, Ad Dali), and Jabal Murays (Qaatabah, Ad Dali), incurring fatalities. Unclear fatalities coded as 10 and spread between 3 locations.",3,1589229240,YEM
